//--------------------------------------------------------------------------
// słowo klucz(x);dopełniacz(1);celownik(2);biernik(3);więcej jeśli trzeba
// przykład {lookup: {0}; Case\Singular; 3}
//--------------------------------------------------------------------------


przemowa lidera;przemowy lidera;przemowie lidera;przemowę lidera
szczątki starożytnego pająka bojowego;szczątków starożytnego pająka bojowego;szczątkom starożytnego pająka bojowego;szczątki starożytnego pająka bojowego
pazur starożytnego łazika bojowego;pazura starożytnego łazika bojowego;pazurowi starożytnego łazika bojowego;pazur starożytnego łazika bojowego
stopa starożytnego łazika bojowego;stopy starożytnego łazika bojowego;stopie starożytnego łazika bojowego;stopę starożytnego łazika bojowego
noga starożytnego łazika bojowego;nogi starożytnego łazika bojowego;nodze starożytnego łazika bojowego;nogę starożytnego łazika bojowego
skorupa starożytnego łazika bojowego;skorupy starożytnego łazika bojowego;skorupie starożytnego łazika bojowego;skorupę starożytnego łazika bojowego
tułów starożytnego łazika bojowego;tułowia starożytnego łazika bojowego;tułowiu starożytnego łazika bojowego;tułów starożytnego łazika bojowego
starożytna pralka;starożytnej pralki;starożytnej pralce;starożytną pralkę
starożytne koło;starożytnego koła;starożytnemu kołu;starożytne koło

// Buildings_Art.xml
rzeźba terroru;rzeźby terroru;rzeźbie terroru;rzeźbę terroru

// Buildings_Exotic.xml
kosmiczny dron;kosmicznego drona;kosmicznemu dronowi;kosmicznego drona

// Buildings_Ideo.xml
wielki ołtarz;wielkiego ołtarza;wielkiemu ołtarzowi;wielki ołtarz
duży ołtarz;dużego ołtarza;dużemu ołtarzowi;duży ołtarz
średni ołtarz;średniego ołtarza;średniemu ołtarzowi;średni ołtarz
mały ołtarz;małego ołtarza;małemu ołtarzowi;mały ołtarz
kapsuła biorzeźbiarska;kapsuły biorzeźbiarskiej;kapsule biorzeźbiarskiej;kapsułę biorzeźbiarską
płonące bongo;płonącego bonga;płonącemu bongu;płonące bongo
talerz kanibali;talerza kanibali;talerzu kanibali;talerz kanibali
świąteczna choinka;świątecznej choinki;świątecznej choince;świąteczną choinkę
stojąca lampa nocna;stojącej lampy nocnej;stojącej lampie nocnej;stojącą lampę nocną
pochodnia nocna;pochodni nocnej;pochodni nocnej;pochodnię nocną
grzybowa pochodnia nocna;grzybowej pochodni nocnej;grzybowej pochodni nocnej;grzybową pochodnię nocną
kukła;kukły;kukle;kukłę
ideogram;ideogramu;ideogramowi;ideogram
kapliczka do kadzenia;kapliczki do kadzenia;kapliczce do kadzenia;kapliczkę do kadzenia
super-doładowywacz neuronów;super-doładowywacza neuronów;super-doładowywaczowi;super-doładowywacz
stos;stosu;stosowi;stos
miejsce rytuału;miejsca rytuału;miejscu rytuału;miejsce rytuału
flaga ofiarna;flagi ofiarnej;fladze ofiarnej;flagę ofiarną
akcelerator snu;akceleratora snu;akceleratorowi snu;akcelerator snu

// Buildings_Misc.xml
autom. bongo;autom. bonga;autom. bongu;autom. bongo
bęben;bębna;bębnowi;bęben
kokon driady;kokonu driady;kokonowi driady;kokon driady
kapsuła lecząca driady;kapsuły leczącej driady;kapsule leczącej driady;kapsułę leczącą driady
strąk gaumaker;strąka gaumaker;strąkowi gaumaker;strąk gaumaker
klatka na zwłoki;klatki na zwłoki;klatce na zwłoki;klatkę na zwłoki
poduszka do klęczenia;poduszki do klęczenia;poduszce do klęczenia;poduszkę do klęczenia
koc do klęczenia;koca do klęczenia;kocu do klęczenia;koc do klęczenia
mównica;mównicy;mównicy;mównicę
kula disco;kuli disco;kuli disco;kulę disco
głośnik;głośnika;głośnikowi;głośnik
ławka kościelna;ławki kościelnej;ławce kościelnej;ławkę kościelną
doniczka na bonsai;doniczki na bonsai;doniczce na bonsai;doniczkę na bonsai
relikwiarz;relikwiarza;relikwiarzowi;relikwiarz
czaszka na szpikulcu;czaszki na szpikulcu;czaszce na szpikulcu;czaszkę na szpikulcu
łóżko płytowe;łóżka płytowego;łóżku płytowemu;łóżko płytowe
podwójne łóżko płytowe;podwójnego łóżka płytowego;podwójnemu łóżku płytowemu;podwójne łóżko płytowe
stacja do stylizacji;stacji do stylizacji;stacji do stylizacji;stację do stylizacji

// Buildings_Special.xml
rdzeń archonexusa;rdzenia archonexusa;rdzeniu archonexusa;rdzeń archonexusa
wieża archotycznych;wieży archotycznych;wieży archotycznych;wieżę archotycznych
wielka struktura archotycznych;wielkiej struktury archotycznych;wielkiej strukturze archotycznych;wielką strukturę archotycznych
duża struktura archotycznych;;dużej struktury archotycznych;dużej strukturze archotycznych;dużą strukturę archotycznych

// Apparel_Various.xml
opaska na oczy;opaski na oczy;opasce na oczy;opaskę na oczy
pas niewolniczy;pasa niewolniczego;pasowi niewolniczemu;pas niewolniczy
burka;burki;burce;burkę
szata;szaty;szacie;szatę
korona tortur;korony tortur;koronie tortur;koronę tortur

// Apparel_Headgear.xml
czapka garnizonowa;czapki garnizonowej;czapce garnizonowej;czapkę garnizonową
hidżab;hidżabu;hidżabowi;hidżab
obroża niewolnika;obroży niewolnika;obroży niewolnika;obroże niewolnika
szeroka czapka;szerokiej czapki;szerokiej czapce;szeroką czapkę
turban;turbanu;turbanowi;turban
stożkowy kapelusz;stożkowego kapelusza;stożkowemu kapeluszowi;stożkowy kapelusz
czepek;czepka;czepkowi;czepek
czapka z ogonem;czapki z ogonem;czapce z ogonem;czapkę z ogonem
maska;maski;masce;maskę

// Plants_Special.xml
barwnik;barwnika;barwnikowi;barwnik
nasiono Gauranlen;nasiona Gauranlen;nasionu Gauranlen;nasiono Gauranlen
włosak pospolity;włosaka pospolitego;włosakowi pospolitemu;włosaka pospolitego
mech Gauranlen;mchu Gauranlen;mchowi Gauranlen;mech Gauranlen
grzyb odżywczy;grzyba odżywczego;grzybowi odżywczemu;grzyba odżywczego
strąk Gauranlen;strąka Gauranlen;strąkowi Gauranlen;strąk Gauranlen
drzewogrzyb;drzewogrzyba;drzewogrzybowi;drzewogrzyb
tinctoria;tinctorii;tinctorii;tinctorię
drzewko bonsai;drzewka bonsai;drzewku bonsai;drzewko bonsai
drzewo Gauranlen;drzewa Gauranlen;drzewu Gauranlen;drzewo Gauranlen

// Races_Animal_Special.xml
driada o skórze z kory;driady o skórze z kory;driadzie o skórze z kory;driadę o skórze z kory
niedojrzała driada;niedojrzałej driady;niedojrzałej driadzie;niedojrzałą driadę
driada producentka jagód;driady producentki jagód;driadzie producentce jagód;driadę producentkę jagód
driada dostawca;driady dostawcy;driadzie dostawcy;driadę dostawcę
driada pazurzasta;driady pazurzastej;driadzie pazurzastej;driadę pazurzastą
driada producentka gau;driady producentki gau;driadzie producentce gau;driadę producentkę gau
driada producentka leków;driady producentki leków;driadzie producentce leków;driadę producentkę leków
driada producentka drewna;driady producentki drewna;driadzie producentce drewna;driadę producentkę drewna


//------------------------------------------
//---------- ROYALTY - PreceptDef ----------
//------------------------------------------

// Precepts_Ritual.xml
oślepianie;oślepiania;oślepianiu;oślepianie
rytuał konwersji;rytuału konwersji;rytuałowi konwersji;rytuał konwersji
przyjęcie świątecznego drzewka;przyjęcia świątecznego drzewka;przyjęciu świątecznego drzewka;przyjęcie świątecznego drzewka
publiczna egzekucja;publicznej egzekucji;publicznej egzekucji;publiczną egzekucję
festiwal społeczny;festiwalu społecznego;festiwalu społecznemu;festiwal społeczny
pogrzeb;pogrzebu;pogrzebowi;pogrzeb
pogrzeb (bez ciała);pogrzeb (bez ciała);pogrzebu (bez ciała);pogrzebowi (bez ciała);pogrzeb (bez ciała)
pojedynek gladiatorów;pojedynku gladiatorów;pojedynkowi gladiatorów;pojedynek gladiatorów
zmiana roli;zmiany roli;zmianie roli;zmianę roli
skaryfikacja;skaryfikacji;skaryfikacji;skaryfikację
rytuał połączenia z drzewem;rytuału połączenia z drzewem;rytuałowi połączenia z drzewem;rytuał połączenia z drzewem
proces sądowy;procesu sądowego;procesowi sądowemu;proces sądowy
